,TimeStamp,High,Low,Open,Close,Total Volume,Period Volume,Number of Trades
73,2010-09-17 08:15:00,1130.0,1129.75,1129.75,1129.75,52486,152,0
74,2010-09-17 08:14:00,1129.75,1129.25,1129.25,1129.5,52334,21,0
75,2010-09-17 08:13:00,1129.75,1129.25,1129.75,1129.25,52313,12,0
76,2010-09-17 08:12:00,1129.75,1129.5,1129.5,1129.5,52301,129,0
77,2010-09-17 08:11:00,1129.75,1129.5,1129.5,1129.5,52168,63,0
78,2010-09-17 08:10:00,1130.25,1129.0,1130.25,1129.5,52105,136,0
79,2010-09-17 08:09:00,1131.0,1130.25,1131.0,1130.5,51957,188,0
80,2010-09-17 08:08:00,1131.5,1131.25,1131.5,1131.25,51769,7,0
81,2010-09-17 08:07:00,1131.5,1131.5,1131.5,1131.5,51762,63,0
82,2010-09-17 08:06:00,1131.5,1131.5,1131.5,1131.5,51699,1,0
83,2010-09-17 08:05:00,1131.5,1131.5,1131.5,1131.5,51698,1,0
84,2010-09-17 08:04:00,1131.5,1131.5,1131.5,1131.5,51697,36,0
85,2010-09-17 08:03:00,1131.75,1131.5,1131.75,1131.5,51661,22,0
86,2010-09-17 08:02:00,1131.75,1131.75,1131.75,1131.75,51639,21,0
87,2010-09-17 08:01:00,1131.75,1131.75,1131.75,1131.75,51618,148,0
88,2010-09-17 08:00:00,1131.5,1131.5,1131.5,1131.5,51470,19,0
89,2010-09-17 07:59:00,1131.75,1131.5,1131.5,1131.5,51451,13,0
90,2010-09-17 07:58:00,1131.75,1131.5,1131.5,1131.5,51438,108,0
91,2010-09-17 07:57:00,1131.5,1131.0,1131.0,1131.5,51315,52,0
92,2010-09-17 07:56:00,1131.25,1131.0,1131.25,1131.0,51263,44,0
93,2010-09-17 07:55:00,1131.25,1130.75,1131.0,1131.25,51217,149,0
94,2010-09-17 07:54:00,1130.75,1130.5,1130.5,1130.75,51068,204,0
95,2010-09-17 07:53:00,1131.0,1130.75,1131.0,1130.75,50838,5,0
96,2010-09-17 07:52:00,1131.25,1130.75,1131.0,1130.75,50833,187,0
97,2010-09-17 07:51:00,1131.5,1131.25,1131.5,1131.25,50631,210,0
98,2010-09-17 07:50:00,1131.75,1131.75,1131.75,1131.75,49924,2,0
99,2010-09-17 07:49:00,1132.0,1131.25,1131.5,1132.0,49922,39,0
100,2010-09-17 07:48:00,1131.5,1131.25,1131.25,1131.5,49847,61,0
101,2010-09-17 07:47:00,1132.0,1131.25,1132.0,1131.5,49786,216,0
102,2010-09-17 07:46:00,1132.25,1132.0,1132.25,1132.25,49569,15,0
103,2010-09-17 07:45:00,1132.25,1131.5,1132.0,1132.0,49554,228,0
104,2010-09-17 07:44:00,1132.0,1132.0,1132.0,1132.0,49326,22,0
105,2010-09-17 07:43:00,1132.0,1131.75,1132.0,1132.0,49304,213,0
106,2010-09-17 07:42:00,1132.25,1131.75,1132.25,1131.75,49091,111,0
107,2010-09-17 07:41:00,1132.5,1132.0,1132.5,1132.5,48980,62,0
108,2010-09-17 07:40:00,1133.0,1132.25,1133.0,1132.5,48918,45,0
109,2010-09-17 07:39:00,1133.0,1132.75,1133.0,1133.0,48873,52,0
110,2010-09-17 07:38:00,1133.0,1132.75,1132.75,1133.0,48821,2,0
